target_volume,shift_type,shift_type_encoded,day_of_week,is_weekend,is_peak_season,team_size,historical_spoilage_rate,inbound_ratio,has_oversized_items,base_pallets,spoilage_buffer_pallets,oversized_extra_pallets,pallets_to_order,carts_needed
16390,afternoon,1,1,0,0,87,0.09035325191146659,0.6566196167772742,1,92,9,10,113,506
44524,peak,3,3,0,0,71,0.13202361209050303,0.736893268934652,0,248,46,0,295,1374
2758,night,2,1,0,0,77,0.026196366515146258,0.5946894808566028,0,16,2,0,19,86
19710,afternoon,1,3,0,0,57,0.05203398159461508,0.33742226967059896,1,110,7,9,125,609
15360,morning,0,1,0,0,63,0.05419630344712137,0.6393729348825208,0,86,5,0,90,474
10873,morning,0,3,0,0,46,0.09581739963018593,0.7487989104448486,0,61,6,0,67,336
17812,morning,0,4,0,0,53,0.09813972759943368,0.552157021498341,0,99,10,0,109,550
3881,night,2,4,0,0,67,0.04475784739324561,0.5468459830515326,1,22,2,2,27,120
16827,afternoon,1,1,0,0,56,0.04593207171950128,0.7957067897261443,0,94,5,0,101,520
2290,night,2,6,1,0,63,0.13138552214230034,0.6181488937730215,0,13,3,0,18,71
18392,morning,0,6,1,0,34,0.11075585811953732,0.7030144508330833,0,103,12,0,117,568
36216,peak,3,2,0,0,40,0.13211236382380634,0.6232467426381059,1,202,38,23,262,1118
7017,night,2,6,1,0,40,0.11955955857952381,0.4104578432819554,0,39,6,0,45,217
9190,morning,0,4,0,0,68,0.06825415763164383,0.4420390919981329,0,52,4,0,58,284
16028,morning,0,0,0,0,30,0.03462891642142018,0.6328528793744708,1,90,4,13,107,495
18209,morning,0,6,1,1,19,0.09554604395080854,0.5280355650359556,1,102,13,12,129,562
13680,morning,0,0,0,0,61,0.06223892747091852,0.5021738951080708,0,76,5,0,82,423
15954,afternoon,1,3,0,0,18,0.07104943887101824,0.31122597669069657,1,89,7,8,104,493
13387,afternoon,1,2,0,0,22,0.071105568913287,0.7421845336993481,1,75,6,10,92,414
21145,morning,0,5,1,0,78,0.13238235459970554,0.7422488949183935,0,118,16,0,134,653
13450,afternoon,1,3,0,0,77,0.028263490303111236,0.5304855623623582,1,75,3,7,87,416
19690,morning,0,1,0,0,39,0.04317245137636861,0.6503696043128409,1,110,5,15,132,608
17898,morning,0,6,1,0,67,0.09295314452179307,0.3889096768676556,0,100,10,0,112,553
11908,afternoon,1,4,0,0,39,0.12605096790642722,0.551905512291897,0,67,9,0,78,368
9187,afternoon,1,2,0,0,86,0.13015311822439893,0.5194328209499276,0,52,8,0,62,284
5251,night,2,3,0,0,51,0.08704315118179162,0.6283067854058089,0,30,4,0,36,163
19432,morning,0,3,0,0,13,0.0241473462601276,0.534822950572102,0,108,3,0,113,600
9088,afternoon,1,0,0,0,87,0.06354572412073688,0.5492171413344811,0,51,4,0,54,281
13572,afternoon,1,1,0,0,72,0.13025999506072147,0.4478562285066785,1,76,11,9,96,419
19406,morning,0,3,0,0,87,0.07999329031677109,0.3242115841522901,1,108,9,13,131,599
10965,afternoon,1,0,0,0,36,0.10719359350201811,0.7585128795086953,0,61,7,0,67,339
15456,morning,0,2,0,1,65,0.05230321045393937,0.30611581175371205,0,86,6,0,92,477
