feature,importance
target_volume,0.7150039654088369
base_pallets_formula,0.27421968034508953
has_oversized_items,0.005679710691654878
shift_spoilage_index,0.0026700183809203223
historical_spoilage_rate,0.001804791375295573
shift_type_encoded,0.00021408375753047095
is_peak_season,0.00016432838184079115
volume_per_worker,0.00011308497792985301
inbound_ratio,6.840158265653128e-05
team_size,4.298811267818649e-05
day_of_week,1.735672963262416e-05
is_weekend,1.2871138250716564e-06
is_stressed_shift,1.9051391477032169e-07
is_heavy_shift,1.1262819435197226e-07
